question_id,question_text,proposed_category,category_confidence,manual_review_required,notes
q103,Are there any drugs mentioned in this dataset that target the Wnt signaling pathway?,drug or therapeutic reasoning,low,true,"Multiple possible categories matched: gene interpretation, pathway reasoning, drug or therapeutic reasoning."
q104,How is the androgen metabolism pathway implicated in androgenetic alopecia?,pathway reasoning,low,true,"Multiple possible categories matched: gene interpretation, pathway reasoning."
q105,List the key genes from this study involved in the androgen metabolism pathway.,pathway reasoning,low,true,"Multiple possible categories matched: gene interpretation, pathway reasoning, literature synthesis."
q106,Describe the mechanism of the androgen metabolism pathway in hair growth.,pathway reasoning,medium,false,Assigned by transparent keyword rule.
q107,Are there any drugs mentioned in this dataset that target the androgen metabolism pathway?,drug or therapeutic reasoning,low,true,"Multiple possible categories matched: pathway reasoning, drug or therapeutic reasoning."
q108,How is the Hedgehog signaling pathway implicated in androgenetic alopecia?,pathway reasoning,low,true,"Multiple possible categories matched: gene interpretation, pathway reasoning."
q109,List the key genes from this study involved in the Hedgehog signaling pathway.,pathway reasoning,low,true,"Multiple possible categories matched: gene interpretation, pathway reasoning, literature synthesis."
q110,Describe the mechanism of the Hedgehog signaling pathway in hair growth.,pathway reasoning,medium,false,Assigned by transparent keyword rule.
q111,Are there any drugs mentioned in this dataset that target the Hedgehog signaling pathway?,drug or therapeutic reasoning,low,true,"Multiple possible categories matched: pathway reasoning, drug or therapeutic reasoning."
q112,How is the FGF signaling pathway implicated in androgenetic alopecia?,pathway reasoning,low,true,"Multiple possible categories matched: gene interpretation, pathway reasoning."
q113,List the key genes from this study involved in the FGF signaling pathway.,pathway reasoning,low,true,"Multiple possible categories matched: gene interpretation, pathway reasoning, literature synthesis."
q114,Describe the mechanism of the FGF signaling pathway in hair growth.,pathway reasoning,medium,false,Assigned by transparent keyword rule.
q115,Are there any drugs mentioned in this dataset that target the FGF signaling pathway?,drug or therapeutic reasoning,low,true,"Multiple possible categories matched: pathway reasoning, drug or therapeutic reasoning."
q116,What are the most significant genes associated with androgenetic alopecia from this study?,gene interpretation,low,true,"Multiple possible categories matched: gene interpretation, literature synthesis."
q117,"Based on this dataset, compare the genetic basis of androgenetic alopecia with telogen effluvium.",gene interpretation,medium,false,Assigned by transparent keyword rule.
q118,Which variants have the highest association p-value for androgenetic alopecia?,variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, gene interpretation."
q119,What are the most significant genes associated with male pattern baldness from this study?,gene interpretation,low,true,"Multiple possible categories matched: gene interpretation, literature synthesis."
q120,"Based on this dataset, compare the genetic basis of male pattern baldness with frontal fibrosing alopecia.",gene interpretation,medium,false,Assigned by transparent keyword rule.
q121,Which variants have the highest association p-value for male pattern baldness?,variant interpretation,medium,false,Assigned by transparent keyword rule.
q122,What are the most significant genes associated with frontal fibrosing alopecia from this study?,gene interpretation,low,true,"Multiple possible categories matched: gene interpretation, literature synthesis."
q123,Which variants have the highest association p-value for frontal fibrosing alopecia?,variant interpretation,medium,false,Assigned by transparent keyword rule.
q124,What are the most significant genes associated with telogen effluvium from this study?,gene interpretation,low,true,"Multiple possible categories matched: gene interpretation, literature synthesis."
q125,Which variants have the highest association p-value for telogen effluvium?,variant interpretation,medium,false,Assigned by transparent keyword rule.
q126,What is the mechanism of action for Minoxidil regarding hair loss?,pathway reasoning,medium,false,Assigned by transparent keyword rule.
q127,Which genes from the study does Minoxidil primarily target?,gene interpretation,low,true,"Multiple possible categories matched: gene interpretation, literature synthesis."
q128,Is Minoxidil treatment related to the androgen metabolism pathway?,drug or therapeutic reasoning,low,true,"Multiple possible categories matched: pathway reasoning, drug or therapeutic reasoning."
q129,What is the mechanism of action for Finasteride regarding hair loss?,drug or therapeutic reasoning,low,true,"Multiple possible categories matched: pathway reasoning, drug or therapeutic reasoning."
q130,Which genes from the study does Finasteride primarily target?,drug or therapeutic reasoning,low,true,"Multiple possible categories matched: gene interpretation, drug or therapeutic reasoning, literature synthesis."
q131,Is Finasteride treatment related to the androgen metabolism pathway?,drug or therapeutic reasoning,low,true,"Multiple possible categories matched: pathway reasoning, drug or therapeutic reasoning."
q132,What is the mechanism of action for Dutasteride regarding hair loss?,drug or therapeutic reasoning,low,true,"Multiple possible categories matched: pathway reasoning, drug or therapeutic reasoning."
q133,Which genes from the study does Dutasteride primarily target?,drug or therapeutic reasoning,low,true,"Multiple possible categories matched: gene interpretation, drug or therapeutic reasoning, literature synthesis."
q134,Is Dutasteride treatment related to the androgen metabolism pathway?,drug or therapeutic reasoning,low,true,"Multiple possible categories matched: pathway reasoning, drug or therapeutic reasoning."
q135,"Explain the connection between variant rs6152, its effect on the AR gene, and its role in the androgen metabolism pathway.",variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, gene interpretation, pathway reasoning, multi-hop or cross-entity reasoning."
q136,Is there evidence in this dataset linking EDA2R to both Wnt signaling pathway and androgen metabolism?,pathway reasoning,low,true,"Multiple possible categories matched: gene interpretation, pathway reasoning, multi-hop or cross-entity reasoning, literature synthesis."
q137,Find a variant that affects SRD5A2 and is also located in a known enhancer active in hair follicle cells.,regulatory reasoning,low,true,"Multiple possible categories matched: variant interpretation, regulatory reasoning."
q138,Can the drug Finasteride modulate the expression of the FGF5 gene?,drug or therapeutic reasoning,low,true,"Multiple possible categories matched: gene interpretation, drug or therapeutic reasoning."
q139,Describe the protein-protein interaction between the AR and SRD5A2 genes as found in the data.,gene interpretation,low,true,"Multiple possible categories matched: gene interpretation, multi-hop or cross-entity reasoning."
q140,"Explain the connection between variant rs2180439, its effect on the Lhx2 gene, and its role in the Wnt signaling pathway.",variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, gene interpretation, pathway reasoning, multi-hop or cross-entity reasoning."
q141,Is there evidence in this dataset linking FGF5 to both Hedgehog signaling pathway and Wnt signaling pathway?,pathway reasoning,low,true,"Multiple possible categories matched: gene interpretation, pathway reasoning, multi-hop or cross-entity reasoning, literature synthesis."
q142,Find a variant that affects WNT10A and is also located in a known enhancer active in hair follicle cells.,regulatory reasoning,low,true,"Multiple possible categories matched: variant interpretation, gene interpretation, regulatory reasoning."
q143,Can the drug Minoxidil modulate the expression of the HDAC9 gene?,drug or therapeutic reasoning,low,true,"Multiple possible categories matched: gene interpretation, drug or therapeutic reasoning."
q144,Describe the protein-protein interaction between the EDA2R and LGR4 genes as found in the data.,gene interpretation,low,true,"Multiple possible categories matched: gene interpretation, multi-hop or cross-entity reasoning."
q145,"What is the cumulative effect of variants in both AR and SRD5A2 genes on hair loss severity, according to the study?",variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, gene interpretation, literature synthesis."
q146,"Which transcription factors regulate the expression of the Lhx2 gene in dermal papilla cells, based on the provided context?",variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, gene interpretation."
q147,"How does the expression of FGF5 differ between balding and non-balding scalp, according to the available abstracts?",literature synthesis,low,true,"Multiple possible categories matched: multi-hop or cross-entity reasoning, literature synthesis."
q148,"Identify common upstream regulators for the AR, SRD5A2, and EDA2R genes from the data.",variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, gene interpretation."
q149,Are there genetic variants in this study that have a protective effect against male pattern baldness?,variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, gene interpretation, literature synthesis."
q150,What are the ethnic differences in the prevalence of risk alleles for androgenetic alopecia reported in this dataset?,gene interpretation,medium,false,Assigned by transparent keyword rule.
q151,"Explain the role of epigenetics, such as DNA methylation, in regulating key hair loss genes like AR, based on the context.",gene interpretation,medium,false,Assigned by transparent keyword rule.
q152,Which microRNAs have been shown to target the 3' UTR of the FGF5 gene in the provided abstracts?,gene interpretation,low,true,"Multiple possible categories matched: gene interpretation, literature synthesis."
q153,Describe the link between polygenic risk scores for hair loss and age of onset from this GWAS study.,literature synthesis,low,true,"Multiple possible categories matched: multi-hop or cross-entity reasoning, literature synthesis."
q154,How do environmental factors interact with genetic predisposition to cause hair thinning according to the data?,variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, gene interpretation, multi-hop or cross-entity reasoning."
q155,What is the functional consequence of the most common haplotype in the EDA2R gene region?,gene interpretation,medium,false,Assigned by transparent keyword rule.
q156,Summarize the evidence from this dataset for the role of the Wnt signaling pathway in maintaining the anagen phase of the hair cycle.,pathway reasoning,low,true,"Multiple possible categories matched: gene interpretation, pathway reasoning, literature synthesis."
q157,Are there any identified genetic links between androgenetic alopecia and other conditions like prostate cancer in this study?,gene interpretation,low,true,"Multiple possible categories matched: gene interpretation, multi-hop or cross-entity reasoning, literature synthesis."
q158,Which cell types in the hair follicle show the highest expression of the AR and SRD5A2 genes based on the context?,gene interpretation,medium,false,Assigned by transparent keyword rule.
q159,"Propose a mechanism by which variants in non-coding regions can affect hair loss phenotypes, using data from this study.",variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, pathway reasoning, literature synthesis."
q160,What is the impact of rs929626 on the function of the PAX1 gene?,variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, gene interpretation."
q161,How does the LGR4 gene influence the hair follicle stem cell niche?,gene interpretation,medium,false,Assigned by transparent keyword rule.
q162,Does the provided data suggest a link between HDAC9 and inflammatory processes in the scalp?,multi-hop or cross-entity reasoning,medium,false,Assigned by transparent keyword rule.
q163,What evidence connects the FOXA2 gene to hair density or thickness?,gene interpretation,low,true,"Multiple possible categories matched: gene interpretation, multi-hop or cross-entity reasoning, literature synthesis."
q164,Explain the relationship between the AR gene and the phenotype 'androgenetic alopecia'.,gene interpretation,low,true,"Multiple possible categories matched: gene interpretation, multi-hop or cross-entity reasoning."
q165,How might variant rs756853 influence the effectiveness of the drug Minoxidil?,drug or therapeutic reasoning,low,true,"Multiple possible categories matched: variant interpretation, drug or therapeutic reasoning."
q166,Describe the known interactions between the Wnt signaling pathway and genes like WNT10A and Lhx2.,pathway reasoning,low,true,"Multiple possible categories matched: gene interpretation, pathway reasoning, multi-hop or cross-entity reasoning."
q167,Is there a shared genetic basis between 'male pattern baldness' and 'frontal fibrosing alopecia' in this dataset?,gene interpretation,low,true,"Multiple possible categories matched: gene interpretation, multi-hop or cross-entity reasoning."
q168,Explain the relationship between the EDA2R gene and the phenotype 'male pattern baldness'.,gene interpretation,low,true,"Multiple possible categories matched: gene interpretation, multi-hop or cross-entity reasoning."
q169,How might variant rs1160312 influence the effectiveness of the drug Finasteride?,drug or therapeutic reasoning,low,true,"Multiple possible categories matched: variant interpretation, drug or therapeutic reasoning."
q170,Describe the known interactions between the androgen metabolism pathway and genes like SRD5A2 and AR.,pathway reasoning,low,true,"Multiple possible categories matched: gene interpretation, pathway reasoning, multi-hop or cross-entity reasoning."
q171,Is there a shared genetic basis between 'androgenetic alopecia' and 'telogen effluvium' in this dataset?,gene interpretation,low,true,"Multiple possible categories matched: gene interpretation, multi-hop or cross-entity reasoning."
q172,How does the Wnt signaling pathway interact with androgen metabolism in the context of hair follicle regulation?,pathway reasoning,low,true,"Multiple possible categories matched: gene interpretation, pathway reasoning, multi-hop or cross-entity reasoning."
q173,Compare the functional impact of rs6152 on the AR gene with the impact of rs1160312 on the FGF5 gene.,variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, gene interpretation."
q174,Is there a known interaction between the drug Minoxidil and the FGF signaling pathway?,drug or therapeutic reasoning,low,true,"Multiple possible categories matched: pathway reasoning, drug or therapeutic reasoning, multi-hop or cross-entity reasoning."
q175,What is the combined association strength of variants rs756853 and rs929626 on the 'male pattern baldness' phenotype?,variant interpretation,medium,false,Assigned by transparent keyword rule.
q176,Which identified genes in this study are also known to be involved in skin development?,gene interpretation,low,true,"Multiple possible categories matched: gene interpretation, literature synthesis."
q177,Trace the regulatory cascade from the transcription factor FOXA2 to its potential target genes related to hair growth.,regulatory reasoning,low,true,"Multiple possible categories matched: gene interpretation, regulatory reasoning."
q178,Does the data suggest that variants affecting EDA2R have a more significant impact than those affecting PAX1?,variant interpretation,medium,false,Assigned by transparent keyword rule.
q179,"What are the therapeutic implications of targeting the Lhx2 gene, based on the context provided?",drug or therapeutic reasoning,low,true,"Multiple possible categories matched: gene interpretation, drug or therapeutic reasoning."
q180,Is there a correlation between the number of high-impact variants in the AR gene and the age of onset for alopecia?,variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, gene interpretation, multi-hop or cross-entity reasoning."
q181,How does the function of SRD5A2 in androgen metabolism directly contribute to the hair loss phenotype?,general biomedical or control questions,medium,true,No specific category keyword matched.
q182,Can a polygenic risk score calculated from this dataset predict response to Finasteride treatment?,drug or therapeutic reasoning,medium,false,Assigned by transparent keyword rule.
q183,Does the variant rs6152 show pleiotropic effects on other phenotypes besides hair loss?,variant interpretation,medium,false,Assigned by transparent keyword rule.
q184,What is the population frequency of the risk allele for rs756853?,variant interpretation,medium,false,Assigned by transparent keyword rule.
q185,Identify any loss-of-function variants within the FGF5 gene from this dataset.,variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, gene interpretation."
q186,"How does androgen sensitivity, mediated by the AR gene, vary across different populations in this study?",gene interpretation,low,true,"Multiple possible categories matched: gene interpretation, multi-hop or cross-entity reasoning, literature synthesis."
q187,Is there evidence for gene-environment interaction affecting the SRD5A2 gene's role in hair loss?,gene interpretation,low,true,"Multiple possible categories matched: gene interpretation, multi-hop or cross-entity reasoning, literature synthesis."
q188,Which signaling cascades are downstream of Lhx2 activation in the hair follicle?,general biomedical or control questions,medium,true,No specific category keyword matched.
q189,Can the drug Dutasteride compensate for variants in the SRD5A2 gene?,drug or therapeutic reasoning,low,true,"Multiple possible categories matched: variant interpretation, gene interpretation, drug or therapeutic reasoning."
q190,Detail the protein domain of AR where the rs6152 variant is located.,variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, gene interpretation."
q191,Compare the expression patterns of EDA2R and AR in scalp tissue.,gene interpretation,medium,false,Assigned by transparent keyword rule.
q192,What is the evolutionary conservation of the genomic region containing the LGR4 gene?,gene interpretation,medium,false,Assigned by transparent keyword rule.
q193,How does the expression of HDAC9 relate to the androgen metabolism pathway?,pathway reasoning,medium,false,Assigned by transparent keyword rule.
q194,What is the known association between variant rs6152 and the phenotype 'frontal fibrosing alopecia'?,variant interpretation,low,true,"Multiple possible categories matched: variant interpretation, multi-hop or cross-entity reasoning."
q195,Can Dutasteride be considered a treatment for conditions linked to the LGR4 gene?,drug or therapeutic reasoning,low,true,"Multiple possible categories matched: gene interpretation, drug or therapeutic reasoning, multi-hop or cross-entity reasoning."
q196,Describe the functional relationship between the FGF signaling pathway and the Wnt signaling pathway in hair biology.,pathway reasoning,low,true,"Multiple possible categories matched: gene interpretation, pathway reasoning, multi-hop or cross-entity reasoning."
q197,Is there any documented protein-protein interaction between PAX1 and FOXA2?,multi-hop or cross-entity reasoning,medium,false,Assigned by transparent keyword rule.
q198,What is the role of the APOE4 gene in Alzheimer's disease?,gene interpretation,medium,false,Assigned by transparent keyword rule.
q199,Summarize the treatment options for Alzheimer's disease based on this dataset.,drug or therapeutic reasoning,medium,false,Assigned by transparent keyword rule.
q200,What is the role of the CFTR gene in cystic fibrosis?,gene interpretation,medium,false,Assigned by transparent keyword rule.
q201,Summarize the treatment options for cystic fibrosis based on this dataset.,drug or therapeutic reasoning,medium,false,Assigned by transparent keyword rule.
